fit_x,fit_y
1,0.9992068172141331
2,0.9985969737895067
3,0.9980415460366754
4,0.9975188310356013
5,0.9970192232451169
6,0.9965373304934037
7,0.9960697190057051
8,0.9956140206790927
9,0.9951685094185057
10,0.9947318746889223
11,0.9943030897488266
12,0.993881329904883
13,0.993465919188605
14,0.9930562941368738
15,0.9926519783558817
16,0.9922525641510916
17,0.9918576989403531
18,0.9914670749961332
19,0.9910804215612451
20,0.9906974986927237
21,0.9903180923875067
22,0.9899420106746565
23,0.9895690804472183
24,0.9891991448676328
25,0.9888320612232909
26,0.9884676991392451
27,0.9881059390771425
28,0.9877466710656371
29,0.9873897936195923
30,0.9870352128144573
31,0.9866828414891076
32,0.9863325985557516
33,0.9859844083996278
34,0.9856382003544389
35,0.9852939082420258
36,0.9849514699667986
37,0.9846108271570749
38,0.9842719248467761
39,0.9839347111919984
40,0.9835991372178429
41,0.9832651565915954
42,0.98293272541894
43,0.9826018020603727
44,0.9822723469653915
45,0.981944322522374
46,0.9816176929223448
47,0.9812924240350728
48,0.9809684832961423
49,0.9806458396038207
50,0.9803244632246864
51,0.9800043257071156
52,0.9796853998018302
53,0.9793676593888071
54,0.9790510794099273
55,0.9787356358068182
56,0.9784213054633997
57,0.9781080661527016
58,0.9777958964875644
59,0.9774847758748785
60,0.9771746844730519
61,0.9768656031524287
62,0.9765575134584081
63,0.9762503975770397
64,0.9759442383028919
65,0.9756390190090095
66,0.9753347236187957
67,0.9750313365796666
68,0.9747288428383426
69,0.9744272278176523
70,0.974126477394735
71,0.9738265778805392
72,0.9735275160005232
73,0.9732292788764716
74,0.9729318540093463
75,0.972635229263105
76,0.9723393928494146
77,0.972044333313204
78,0.9717500395189955
79,0.9714565006379674
80,0.9711637061356964
81,0.9708716457605384
82,0.9705803095326064
83,0.9702896877333064
84,0.9699997708953996
85,0.9697105497935552
86,0.969422015435367
87,0.9691341590528034
88,0.9688469720940674
89,0.9685604462158403
90,0.9682745732758884
91,0.9679893453260122
92,0.9677047546053168
93,0.967420793533787
94,0.9671374547061501
95,0.9668547308860097
96,0.9665726150002368
97,0.9662911001336041
98,0.9660101795236493
99,0.965729846555758
100,0.9654500947584521
101,0.965170917798874
102,0.9648923094784579
103,0.9646142637287766
104,0.9643367746075557
105,0.964059836294849
106,0.9637834430893629
107,0.9635075894049271
108,0.9632322697671013
109,0.9629574788099126
110,0.9626832112727184
111,0.9624094619971861
112,0.962136225924388
113,0.9618634980920023
114,0.9615912736316181
115,0.9613195477661381
116,0.9610483158072763
117,0.9607775731531436
118,0.9605073152859207
119,0.9602375377696125
120,0.959968236247881
121,0.9596994064419525
122,0.9594310441485985
123,0.9591631452381836
124,0.9588957056527803
125,0.9586287214043463
126,0.9583621885729638
127,0.9580961033051354
128,0.9578304618121362
129,0.9575652603684198
130,0.9573004953100757
131,0.9570361630333348
132,0.9567722599931247
133,0.9565087827016675
134,0.956245727727124
135,0.9559830916922785
136,0.9557208712732644
137,0.9554590631983293
138,0.9551976642466363
139,0.9549366712471031
140,0.954676081077274
141,0.954415890662227
142,0.9541560969735118
143,0.9538966970281197
144,0.9536376878874834
145,0.9533790666565051
146,0.9531208304826126
147,0.9528629765548433
148,0.9526055021029519
149,0.952348404396546
150,0.9520916807442429
151,0.951835328492852
152,0.9515793450265787
153,0.9513237277662497
154,0.9510684741685604
155,0.9508135817253418
156,0.9505590479628468
157,0.9503048704410572
158,0.950051046753006
159,0.949797574524121
160,0.949544451411583
161,0.9492916751037013
162,0.9490392433193064
163,0.9487871538071567
164,0.9485354043453611
165,0.9482839927408161
166,0.9480329168286575
167,0.9477821744717251
168,0.9475317635600408
169,0.9472816820103004
170,0.9470319277653768
171,0.9467824987938361
172,0.9465333930894652
173,0.9462846086708104
174,0.9460361435807283
175,0.9457879958859456
176,0.9455401636766314
177,0.9452926450659773
178,0.9450454381897896
179,0.9447985412060894
180,0.944551952294723
181,0.9443056696569802
182,0.9440596915152225
183,0.9438140161125194
184,0.9435686417122922
185,0.9433235665979669
186,0.9430787890726345
187,0.9428343074587187
188,0.9425901200976509
189,0.9423462253495527
190,0.9421026215929256
191,0.9418593072243465
192,0.9416162806581712
193,0.9413735403262427
194,0.941131084677607
195,0.9408889121782351
196,0.9406470213107496
197,0.9404054105741584
198,0.9401640784835933
199,0.9399230235700542
200,0.9396822443801593
201,0.9394417394758992
202,0.9392015074343971
203,0.9389615468476736
204,0.9387218563224166
205,0.9384824344797547
206,0.9382432799550372
207,0.9380043913976168
208,0.9377657674706371
209,0.937527406850825
210,0.9372893082282865
211,0.9370514703063065
212,0.9368138918011534
213,0.9365765714418861
214,0.9363395079701665
215,0.936102700140074
216,0.9358661467179245
217,0.9356298464820927
218,0.9353937982228379
219,0.9351580007421325
220,0.934922452853495
221,0.9346871533818245
222,0.9344521011632397
223,0.9342172950449207
224,0.9339827338849521
225,0.933748416552172
226,0.9335143419260211
227,0.9332805088963957
228,0.9330469163635035
229,0.9328135632377215
230,0.9325804484394571
231,0.9323475708990112
232,0.9321149295564438
233,0.9318825233614423
234,0.9316503512731917
235,0.931418412260248
236,0.9311867053004124
237,0.9309552293806089
238,0.9307239834967638
239,0.9304929666536866
240,0.9302621778649545
241,0.9300316161527966
242,0.9298012805479826
243,0.9295711700897116
244,0.9293412838255032
245,0.9291116208110913
246,0.9288821801103185
247,0.9286529607950333
248,0.9284239619449879
249,0.928195182647739
250,0.9279666219985494
251,0.9277382791002913
252,0.9275101530633513
