B5_x,B5_y,B4_x,B4_y,B3_x,B3_y,B2_x,B2_y,B1_x,B1_y
2.26e-07,0.0,1.13e-07,0.0,2.41e-07,0.0,5.8e-07,0.0,1.205e-06,0.0
2.32e-07,0.0,1.16e-07,0.0,2.49e-07,0.0,5.99e-07,1.59e-07,1.243e-06,0.0
2.39e-07,0.0,1.2e-07,0.0,2.57e-07,0.0,6.17e-07,0.0,1.283e-06,0.0
2.46e-07,0.0,1.24e-07,0.0,2.65e-07,0.0,6.37e-07,0.0,1.324e-06,2.26e-07
2.53e-07,0.0,1.27e-07,0.0,2.73e-07,0.0,6.57e-07,0.0,1.367e-06,0.0
2.6e-07,0.0,1.31e-07,0.0,2.82e-07,0.0,6.77e-07,0.0,1.411e-06,4.53e-07
2.68e-07,0.0,1.35e-07,0.0,2.9e-07,0.0,6.99e-07,1.59e-07,1.456e-06,0.0
2.76e-07,0.0,1.4e-07,0.0,2.99e-07,0.0,7.2e-07,1.59e-07,1.502e-06,0.0
2.84e-07,0.0,1.44e-07,0.0,3.09e-07,1.25e-07,7.43e-07,0.0,1.551e-06,0.0
2.92e-07,0.0,1.48e-07,0.0,3.18e-07,0.0,7.66e-07,0.0,1.6e-06,2.26e-07
3e-07,0.0,1.53e-07,0.0,3.28e-07,0.0,7.9e-07,1.59e-07,1.652e-06,2.26e-07
3.09e-07,0.0,1.58e-07,0.0,3.39e-07,0.0,8.15e-07,0.0,1.705e-06,2.26e-07
3.18e-07,0.0,1.62e-07,0.0,3.49e-07,0.0,8.41e-07,0.0,1.759e-06,0.0
3.27e-07,0.0,1.67e-07,0.0,3.6e-07,0.0,8.67e-07,0.0,1.816e-06,0.0
3.36e-07,0.0,1.73e-07,0.0,3.72e-07,0.0,8.94e-07,0.0,1.874e-06,4.53e-07
3.46e-07,0.0,1.78e-07,0.0,3.83e-07,0.0,9.22e-07,0.0,1.934e-06,0.0
3.56e-07,0.0,1.83e-07,0.0,3.95e-07,0.0,9.51e-07,3.18e-07,1.996e-06,0.0
3.66e-07,1.19e-07,1.89e-07,0.0,4.07e-07,0.0,9.81e-07,0.0,2.06e-06,0.0
3.77e-07,0.0,1.95e-07,0.0,4.2e-07,0.0,1.012e-06,0.0,2.126e-06,0.0
3.88e-07,0.0,2.01e-07,0.0,4.33e-07,1.25e-07,1.043e-06,0.0,2.194e-06,2.26e-07
3.99e-07,0.0,2.07e-07,1.12e-07,4.47e-07,0.0,1.076e-06,0.0,2.264e-06,0.0
4.1e-07,0.0,2.14e-07,0.0,4.61e-07,0.0,1.11e-06,0.0,2.337e-06,0.0
4.22e-07,0.0,2.2e-07,2.24e-07,4.75e-07,0.0,1.144e-06,0.0,2.412e-06,2.26e-07
4.35e-07,0.0,2.27e-07,0.0,4.9e-07,0.0,1.18e-06,0.0,2.489e-06,0.0
4.47e-07,0.0,2.34e-07,0.0,5.06e-07,0.0,1.217e-06,0.0,2.569e-06,0.0
4.6e-07,0.0,2.41e-07,0.0,5.21e-07,1.25e-07,1.255e-06,0.0,2.651e-06,0.0
4.73e-07,0.0,2.49e-07,0.0,5.38e-07,0.0,1.295e-06,0.0,2.736e-06,0.0
4.87e-07,0.0,2.56e-07,0.0,5.55e-07,1.25e-07,1.335e-06,0.0,2.824e-06,0.0
5.01e-07,0.0,2.64e-07,0.0,5.72e-07,0.0,1.377e-06,0.0,2.914e-06,0.0
