sampling,Y_fit
0.002,16494.577052229786
0.003,8300.774315092849
0.004,5099.485015557105
0.005,3494.641194759327
0.006,2566.27824425574
0.007,1976.627258511531
0.008,1576.5634572834376
0.009000000000000001,1291.4606096201744
0.01,1080.4078425893733
0.011000000000000001,919.3616585079983
0.012,793.3939385589305
0.013,692.8143528931776
0.014,611.096668571969
0.015000000000000001,543.7072827750012
0.016,487.41242052065644
0.017,439.85216647149076
0.018000000000000002,399.26965123667947
0.019000000000000003,364.33379737098744
0.020000000000000004,334.02030173487185
0.020999999999999998,307.5298938832313
0.022,284.2310528238426
0.023,263.61913125074705
0.024,245.2867077648507
0.025,228.90176219119678
0.026000000000000002,214.19139150731056
0.027000000000000003,200.9295088493026
0.028000000000000004,188.9274453398824
0.028999999999999998,178.02669424671046
0.03,168.09325468491335
0.031,159.0131825110483
0.032,150.6890614394688
0.033,143.03718218182556
0.034,135.98527109117225
0.035,129.47064875986607
0.036000000000000004,123.43872760125828
0.037000000000000005,117.8417786114584
0.038000000000000006,112.63791332577458
0.039,107.79023890749178
0.04,103.26615336636236
0.041,99.03675484076125
0.042,95.07634422680783
0.043000000000000003,91.3620045912879
0.044000000000000004,87.8732440511572
0.045000000000000005,84.5916913547212
0.046,81.50083541824658
0.047,78.58580167725572
0.048,75.83315939544501
0.049,73.23075510576075
0.05,70.76756819119694
0.051000000000000004,68.43358528868423
0.052000000000000005,66.2196907501305
0.053000000000000005,64.11757084532367
0.054000000000000006,62.11962976169516
0.055,60.218915761391976
0.056,58.40905610901826
0.057,56.68419959357798
0.058,55.03896564341073
0.059000000000000004,53.468399179552016
0.060000000000000005,51.967930476038624
0.061000000000000006,50.53333939932164
0.062,49.16072348648189
0.063,47.84646939608103
0.064,46.587227328454325
0.065,45.37988806588303
0.066,44.22156232888231
0.067,43.109562184047135
0.068,42.04138427254552
0.069,41.01469465729263
0.07,40.027315111795595
0.07100000000000001,39.0772106952251
0.07200000000000001,38.16247847694631
0.07300000000000001,37.28133728995099
0.07400000000000001,36.43211840672774
0.075,35.61325704339048
0.076,34.82328460860772
0.077,34.060821623255244
0.078,33.32457124493339
0.079,32.613313338705375
0.08,31.92589904175802
0.081,31.261245775274407
0.082,30.618332661739405
0.083,29.9961963102562
0.084,29.39392693630866
0.085,28.81066478582326
0.08600000000000001,28.24559683641906
0.08700000000000001,27.697953751432564
0.08800000000000001,27.16700706470628
0.08900000000000001,26.65206657627154
0.09,26.152477940967753
0.091,25.66762043374928
0.092,25.196904876960783
0.093,24.73977171623241
0.094,24.29568923287631
0.095,23.864151881770773
0.096,23.444678744711958
0.097,23.036812090108057
0.098,22.640116030697268
0.099,22.254175271698873
0.1,21.878593942464253
0.101,21.51299450528949
0.10200000000000001,21.157016735589394
0.10300000000000001,20.81031676812084
0.10400000000000001,20.472566204385725
0.10500000000000001,20.14345127674584
0.10600000000000001,19.82267206514694
0.107,19.509941762681812
0.108,19.204985986524385
0.109,18.90754213104282
0.11,18.617358760150886
0.111,18.334195036186504
0.112,18.05782018281625
0.113,17.78801297965629
0.114,17.524561286475848
0.115,17.26726159501023
0.116,17.015918606557626
0.117,16.77034483366947
0.11800000000000001,16.530360224367932
0.11900000000000001,16.295791807438615
0.12000000000000001,16.06647335745099
0.12100000000000001,15.842245078256044
0.122,15.622953303799104
0.123,15.408450215167985
0.124,15.198593572871939
0.125,14.993246463416588
0.126,14.792277059304359
0.127,14.595558391649375
0.128,14.402968134650639
0.129,14.214388401218216
0.13,14.029705549094144
0.131,13.848809996853364
0.132,13.671596049210315
0.133,13.497961731094383
0.134,13.327808629991965
0.135,13.161041746085337
0.136,12.99756934974833
0.137,12.837302845986795
0.138,12.680156645437586
0.139,12.52604804156403
0.14,12.374897093708185
0.14100000000000001,12.22662651568109
0.14200000000000002,12.081161569591734
0.14300000000000002,11.938429964633551
0.14400000000000002,11.798361760564235
0.14500000000000002,11.660889275630446
0.14600000000000002,11.525946998703736
0.147,11.39347150540782
0.148,11.263401378030204
0.149,11.135677129023215
