B,alpha,V
0.0,0.6078670770933857,3.6744287890538536
0.25,0.6080280084355283,3.4244113931657645
0.5,0.6082708623483185,3.172264826607106
0.75,0.6089346994462201,2.920496216897907
1.0,0.6094490467352803,2.6691502644806
1.25,0.6087819373063181,2.4218884433505368
1.5,0.6074138859122845,2.17759050941741
1.75,0.6082150692775495,1.924518863595956
2.0,0.6095031824706884,1.6693525513215128
2.25,0.6071859905380739,1.4252987429331112
2.5,0.6088201725223658,1.1718961652768651
2.75,0.6083964372180184,0.9217789220455538
3.0,0.6084085709959702,0.6739847675604029
3.25,0.6098262889526476,0.4195831739276163
3.5,0.6073495941271365,0.1770105651771715
3.75,0.6848399613214785,4.9115014312367385e-05
4.0,0.8217118086556623,1.90152920546909e-05
4.25,0.8866382122198718,1.1566904889792284e-05
4.5,0.9217000910707988,7.623488618273167e-06
4.7,0.940599018467396,3.886666277468232e-06
4.95,0.9550060479964086,3.4887571781310943e-06
5.2,0.9681314555324324,1.380147750382047e-06
5.45,0.9757009982061788,2.5038863354585904e-06
5.7,0.98184258938882,3.055497953431724e-06
5.95,0.985385297642942,-2.462943141407753e-06
6.2,0.9892821186024278,1.855075838606224e-06
6.45,0.9921591178266144,1.405836585719527e-06
6.7,0.994085409369218,-2.510772473955769e-07
6.95,0.9952287953198568,2.3019131202276837e-07
7.2,0.9961883062495038,3.296099136105147e-06
7.45,0.9975997417729616,1.9089191824108355e-06
7.7,0.9982627170668112,2.4595053661773747e-06
7.95,0.9984542607856846,7.37530674833154e-07
8.2,0.9991108860280676,-1.6422177546628668e-06
8.45,0.9991952112459932,-1.5954340908326827e-06
8.7,0.999049281914432,-1.339966292361612e-06
8.95,0.9998174568504496,-4.000959102692027e-06
