Plot 1,Plot 2,theory1,theory2
1.0301710520261211,0.9678768300913214,1.0301710520261211,1.0301710520261211
1.155689474534162,1.201157427208077,1.0701710520261212,1.1201710520261212
1.2528818251414648,1.2747785798912825,1.1101710520261212,1.210171052026121
1.3519188020229964,1.3035108382945368,1.150171052026121,1.3001710520261212
1.5049841542198144,1.4499573447201415,1.190171052026121,1.3901710520261212
1.5189010691391684,1.7410714979474264,1.230171052026121,1.480171052026121
1.5388526649481584,1.957580247408913,1.2701710520261211,1.5701710520261212
1.4718880139663553,2.1662270824424827,1.3101710520261212,1.6601710520261213
1.487505114133619,2.098173072668047,1.3501710520261212,1.750171052026121
1.6455364487095283,2.375497903787823,1.3901710520261212,1.840171052026121
1.8955750706463736,3.0255804418739953,1.4301710520261213,1.930171052026121
2.2954982142697538,3.8650224216606874,1.470171052026121,2.020171052026121
2.666524325026468,4.997000308741872,1.5101710520261211,2.1101710520261214
2.974787766496678,5.703639304875621,1.5501710520261212,2.2001710520261213
3.1162181328536716,5.44950628056707,1.5901710520261212,2.290171052026121
2.874868413802023,5.048717867098078,1.630171052026121,2.380171052026121
2.520242592465832,4.730653659039288,1.670171052026121,2.470171052026121
2.185702893651523,4.505535031311055,1.710171052026121,2.560171052026121
2.0980024273755338,4.591804795651797,1.750171052026121,2.650171052026121
1.9476269133826816,5.172346502715056,1.7901710520261211,2.7401710520261213
1.7846389615875735,5.7645967773639555,1.8301710520261212,2.830171052026121
1.9611126101034722,5.757248042583571,1.8701710520261212,2.920171052026121
2.3884517800820904,5.600397404610341,1.9101710520261213,3.010171052026121
2.7027079545609,5.547363300517123,1.9501710520261213,3.1001710520261208
2.798855067880243,5.644551889952454,1.990171052026121,3.1901710520261215
2.5633298161166773,5.763731568094813,2.0301710520261214,3.2801710520261214
2.5039175745783147,6.203250443764875,2.0701710520261214,3.370171052026121
2.330861572787018,6.648372559908494,2.1101710520261214,3.460171052026121
2.2544751723447503,6.775403345643536,2.1501710520261215,3.550171052026121
2.2404308512460545,6.888193173062528,2.190171052026121,3.640171052026121
2.118154531977181,6.909156472833249,2.230171052026121,3.7301710520261206
2.159653779628315,7.101632665457856,2.270171052026121,3.8201710520261214
2.0881806114856554,7.136598452999275,2.310171052026121,3.9101710520261213
2.337335489508932,6.892221753592714,2.350171052026121,4.000171052026121
2.214301693655804,6.662547019989109,2.3901710520261212,4.090171052026121
2.1220928466915865,6.658167813445123,2.4301710520261213,4.180171052026121
2.0637464185311036,6.75363864215604,2.470171052026121,4.270171052026121
2.1557548729584783,6.760200981408429,2.510171052026121,4.360171052026121
2.1431984918987115,6.721692785156821,2.550171052026121,4.450171052026121
2.058659933463657,6.693810635772962,2.590171052026121,4.540171052026121
1.9031080170238845,6.4060655639460125,2.630171052026121,4.630171052026121
1.9013307983194847,5.97440613056551,2.670171052026121,4.720171052026121
1.8240174835811256,5.640748983102881,2.710171052026121,4.810171052026121
1.6913638002531028,5.3376541146346925,2.750171052026121,4.900171052026121
1.8848683249370004,5.07059792597187,2.790171052026121,4.990171052026121
1.9781213174903238,5.065252381419886,2.830171052026121,5.080171052026121
1.97959780303612,5.353310350747205,2.870171052026121,5.170171052026121
2.143183794549922,6.015512420910785,2.9101710520261213,5.260171052026121
2.257418773696818,6.260084798047763,2.9501710520261213,5.350171052026122
2.5634621862215186,6.1099145744153835,2.9901710520261213,5.4401710520261215
3.0052671135973252,6.0687299825923775,3.0301710520261214,5.530171052026121
3.1762114244576933,6.341392210283376,3.0701710520261214,5.620171052026121
2.8581228019672107,6.382163086513778,3.1101710520261214,5.710171052026121
2.656266836676332,6.278639120831296,3.1501710520261215,5.800171052026121
2.592058054850915,5.949333072565489,3.1901710520261215,5.890171052026121
2.552783952953911,5.8735058214629365,3.2301710520261215,5.9801710520261215
2.5911279513503542,5.928012508516987,3.2701710520261216,6.070171052026121
2.4699574012895367,5.762819047507214,3.3101710520261216,6.160171052026121
2.585035363319435,5.6490369530330655,3.3501710520261208,6.250171052026121
2.9241892203207183,5.482313664952807,3.390171052026121,6.340171052026121
2.865235081116547,5.341939273033306,3.430171052026121,6.430171052026121
2.814179621190919,5.0610881566165995,3.470171052026121,6.520171052026122
2.920594384246757,4.739543962808403,3.510171052026121,6.610171052026121
3.1189994112628883,4.724773092907146,3.550171052026121,6.700171052026121
2.9888575041950185,4.921741858559698,3.590171052026121,6.790171052026121
2.564845646041591,5.042429573798803,3.630171052026121,6.880171052026121
2.2038462185515626,5.027336402897242,3.670171052026121,6.970171052026121
