B-Bc_fit,fit_data
0.002,453.0733688233091
0.003,321.4715195062655
0.004,252.0036610905692
0.005,208.6372771254712
0.006,178.8054770518206
0.007,156.93642298801103
0.008,140.16680205235514
0.009000000000000001,126.86878629211157
0.01,116.04601217709327
0.011000000000000001,107.05318467288305
0.012,99.45328492188874
0.013,92.93942084454974
0.014,87.2895117498292
0.015000000000000001,82.33873459413428
0.016,77.96209115598184
0.017,74.06299984613734
0.018000000000000002,70.56560995134859
0.019000000000000003,67.40949108506541
0.020000000000000004,64.54588138680238
0.020999999999999998,61.93498428754695
0.022,59.54398630631548
0.023,57.3455804835215
0.024,55.316850718660206
0.025,53.43841785443826
0.026000000000000002,51.69377836815104
0.027000000000000003,50.06878668428906
0.028000000000000004,48.55124588958963
0.028999999999999998,47.13058118744433
0.03,45.79757715880794
0.031,44.544164701348045
0.032,43.36324699156175
0.033,42.24855635427214
0.034,41.19453580123261
0.035,40.196240402287906
0.036000000000000004,39.24925470904015
0.037000000000000005,38.349623254317656
0.038000000000000006,37.49379176667826
0.039,36.67855721511277
0.04,35.90102516957957
0.041,35.15857325337699
0.042,34.448819692458024
0.043000000000000003,33.76959614866979
0.044000000000000004,33.118924169144954
0.045000000000000005,32.494994700712574
0.046,31.896150212366756
0.047,31.32086904524676
0.048,30.767751671891435
0.049,30.235508597572178
