Time,Mean delay per firm
4760000.0,3.5957705
4760001.0,3.656825116
4760002.0,4.017716069
4760003.0,4.327495468
4760004.0,4.351987221
4760005.0,4.150528096
4760006.0,3.766280043
4760007.0,3.725422461
4760008.0,3.770097192
4760009.0,3.634382697
4760010.0,3.371401524
4760011.0,3.116042865
4760012.0,2.902373967
4760013.0,2.747557565
4760014.0,2.643297556
4760015.0,2.579824474
4760016.0,2.494764156
4760017.0,2.350648006
4760018.0,2.46349042
4760019.0,2.581868517
4760020.0,2.576019348
4760021.0,2.480937911
4760022.0,2.379641799
4760023.0,2.322093388
4760024.0,2.220978157
4760025.0,2.134385525
4760026.0,2.134369751
4760027.0,2.002405045
4760028.0,1.920201385
4760029.0,1.80157015
4760030.0,1.705556338
4760031.0,1.636755635
4760032.0,1.589215783
4760033.0,1.577369748
4760034.0,1.621531878
4760035.0,1.640147607
4760036.0,1.727180478
4760037.0,1.619735555
4760038.0,1.566601062
4760039.0,1.503737727
4760040.0,1.492023072
4760041.0,1.466788651
4760042.0,1.438502048
4760043.0,1.408100681
4760044.0,1.37334488
4760045.0,1.343260617
4760046.0,1.299636407
4760047.0,1.352134088
4760048.0,1.334700439
4760049.0,1.36642432
4760050.0,1.297034366
4760051.0,1.299328584
4760052.0,1.265077198
4760053.0,1.279549019
4760054.0,1.296542779
4760055.0,1.34353959
4760056.0,1.395910955
4760057.0,1.486129327
4760058.0,1.621661708
4760059.0,1.661952322
4760060.0,1.711172213
4760061.0,1.730022685
4760062.0,1.647107505
4760063.0,1.580601783
4760064.0,1.642443519
4760065.0,1.724048859
4760066.0,1.943447136
4760067.0,2.08159979
4760068.0,2.087879396
4760069.0,2.030151723
4760070.0,1.904125352
4760071.0,1.778013192
4760072.0,1.729572119
4760073.0,1.704692864
4760074.0,1.619392015
4760075.0,1.596153443
4760076.0,1.560132437
4760077.0,1.552461862
4760078.0,1.576259929
4760079.0,1.671044987
4760080.0,1.676857603
4760081.0,1.581448257
4760082.0,1.639639691
4760083.0,1.776492415
4760084.0,1.882829869
4760085.0,1.954357664
4760086.0,1.952698837
4760087.0,1.938501891
4760088.0,2.068543142
4760089.0,1.977238531
4760090.0,1.911444378
4760091.0,2.015224972
4760092.0,2.629771926
4760093.0,3.32286912
4760094.0,3.416087683
4760095.0,3.373639625
4760096.0,3.39657885
4760097.0,3.304545242
4760098.0,3.073537333
4760099.0,2.83183651
4760100.0,2.622778483
4760101.0,2.419470617
4760102.0,2.280148712
4760103.0,2.124469629
4760104.0,1.976633909
4760105.0,1.867410127
4760106.0,1.72619832
4760107.0,1.637103781
4760108.0,1.611390819
4760109.0,1.562508904
4760110.0,1.558479281
4760111.0,1.631088772
4760112.0,1.734085598
4760113.0,1.82252683
4760114.0,1.910867373
4760115.0,1.961087062
4760116.0,2.052562142
4760117.0,2.426077706
4760118.0,2.801041006
4760119.0,2.981888661
4760120.0,2.938824986
4760121.0,2.92177641
4760122.0,3.094209457
4760123.0,3.150996853
4760124.0,3.282708246
4760125.0,3.422674224
4760126.0,3.564475183
4760127.0,3.639646398
4760128.0,3.66097792
4760129.0,3.484946542
4760130.0,3.241332117
4760131.0,3.088939781
4760132.0,3.281677334
4760133.0,3.484188524
4760134.0,3.490781756
4760135.0,3.453422391
4760136.0,3.446410169
4760137.0,3.400518262
4760138.0,3.20385177
4760139.0,2.928691204
4760140.0,2.669806946
4760141.0,2.500435085
4760142.0,2.416129802
4760143.0,2.394197523
4760144.0,2.298985756
4760145.0,2.273264566
4760146.0,2.637051683
4760147.0,2.894575907
4760148.0,3.251480772
4760149.0,3.428706316
4760150.0,3.337429053
4760151.0,3.061593963
4760152.0,2.917310935
4760153.0,2.854412614
4760154.0,2.811395433
4760155.0,2.625182296
4760156.0,2.479342331
4760157.0,2.504619615
4760158.0,2.420768878
4760159.0,2.270723506
4760160.0,2.14581108
4760161.0,2.10864554
4760162.0,2.077425334
4760163.0,2.018318878
4760164.0,1.931187577
4760165.0,1.883861456
4760166.0,1.974125609
4760167.0,2.071895299
4760168.0,2.167702943
4760169.0,2.288657508
4760170.0,2.379853047
4760171.0,2.460871223
4760172.0,2.503789674
4760173.0,2.427715647
4760174.0,2.449683418
4760175.0,2.779110784
4760176.0,2.892785604
4760177.0,2.668986801
4760178.0,2.662872227
4760179.0,3.04444741
4760180.0,3.319374435
4760181.0,3.321917833
4760182.0,3.335391682
4760183.0,3.414441999
4760184.0,3.499994965
4760185.0,3.524585502
4760186.0,3.513106436
4760187.0,3.530896626
4760188.0,3.45029505
4760189.0,3.319940282
4760190.0,3.191447324
4760191.0,3.230750125
4760192.0,3.288461558
4760193.0,3.267633256
4760194.0,3.18952191
4760195.0,3.088473908
4760196.0,3.188072177
4760197.0,3.312123416
4760198.0,3.323731878
4760199.0,3.299951895
4760200.0,3.193439235
4760201.0,2.97550661
4760202.0,2.733538326
4760203.0,2.482800098
4760204.0,2.438067243
4760205.0,2.356318929
4760206.0,2.360975025
4760207.0,2.134852703
4760208.0,1.910595403
4760209.0,1.801323001
4760210.0,1.81606364
4760211.0,1.862315835
4760212.0,1.914637663
4760213.0,2.137885947
4760214.0,2.724353436
4760215.0,2.82849636
4760216.0,2.699661816
4760217.0,2.795017016
4760218.0,3.236503465
4760219.0,3.678255512
4760220.0,3.666694046
4760221.0,3.574529112
4760222.0,3.699658894
4760223.0,3.736422236
4760224.0,3.729642719
4760225.0,3.565238313
4760226.0,3.356898474
4760227.0,3.080971273
4760228.0,2.93029606
4760229.0,2.76987403
4760230.0,2.638065854
4760231.0,2.647238344
4760232.0,2.530664762
4760233.0,2.509488268
4760234.0,2.638069168
4760235.0,2.753601544
4760236.0,2.778425972
